epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9581818,0.09855620813264389,0.001,0.971818208694458,0.059899158443916925
1,0.9838384,0.03896632034369189,0.001,0.9868181943893433,0.03418512083674696
2,0.9848485,0.037199241801381414,0.001,0.9827272891998291,0.03846304626881399
3,0.98464644,0.03645709330009089,0.001,0.985909104347229,0.03383270335807042
4,0.9859091,0.03507273509251801,0.001,0.9759091138839722,0.04989849548786879
5,0.9856061,0.03561865355480801,0.001,0.9795454740524292,0.04416961787437851
6,0.98651516,0.034130375227241806,0.00067000004,0.9840909242630005,0.03555046502331441
7,0.9861616,0.03367418031800877,0.00067000004,0.9813636541366577,0.041073450729758904
8,0.9862626,0.03338523712498371,0.0004489,0.9863636493682861,0.03280483950691467
9,0.9862626,0.03299917391529589,0.0004489,0.9800000190734863,0.045132083251903
10,0.98656565,0.033182456261581846,0.0004489,0.9845454692840576,0.03851229460232637
11,0.98656565,0.033155961939782805,0.000300763,0.9854545593261719,0.03430970744314519
12,0.98676765,0.032868595279828466,0.000300763,0.9850000143051147,0.03597327505788681
13,0.9862626,0.03339992289741834,0.00020151121,0.985909104347229,0.034420518133873965
