epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5406061,0.6563704886340131,0.001,0.653181791305542,0.6248133936795321
1,0.6804798,0.6051048160803438,0.001,0.6949999928474426,0.5924178218841553
2,0.76272726,0.5607166247416024,0.001,0.7838636636734009,0.5392108451236378
3,0.81169194,0.5102007640010179,0.001,0.8056818246841431,0.5004359348253771
4,0.83823234,0.4650694002888419,0.001,0.8274999856948853,0.4589896868575703
5,0.8589646,0.4226155990061134,0.001,0.8334090709686279,0.43270761132240293
6,0.88093436,0.38345963740589645,0.001,0.8554545640945435,0.3985517852956598
7,0.9024242,0.35005535797639326,0.001,0.8575000166893005,0.39741852966221897
8,0.91353536,0.32113519226661835,0.001,0.871363639831543,0.3620688942345706
9,0.92098486,0.29814813987173217,0.001,0.875,0.3499754449454221
10,0.9237626,0.28232774810357525,0.001,0.8729545474052429,0.34563029126687483
11,0.9285101,0.2650354893279798,0.001,0.8795454502105713,0.33808035319501706
12,0.931995,0.2519869121276971,0.001,0.8804545402526855,0.33383053909648547
13,0.93386364,0.24121695246359315,0.001,0.8761363625526428,0.33625377058982847
14,0.9370202,0.23036075908126252,0.001,0.8747727274894714,0.33682865023612973
15,0.94434345,0.21641912515115255,0.00033,0.8795454502105713,0.329696846333417
16,0.945303,0.2129890404084716,0.00033,0.8781818151473999,0.3305916882645
17,0.9463636,0.21029391953439425,0.00033,0.878636360168457,0.3289219796657562
18,0.94699496,0.20655690123336484,0.00033,0.8809090852737427,0.32910780679095875
19,0.9473485,0.2033982145665872,0.00033,0.8799999952316284,0.3302658089724454
20,0.9497727,0.1991574268148403,0.0001089,0.8806818127632141,0.32912398663434117
