epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.88737375,0.2619211443205072,0.001,0.9615908861160278,0.11889554267579859
1,0.9761616,0.07803915903724805,0.001,0.9647727012634277,0.09354926800524646
2,0.9804798,0.05865685721238454,0.001,0.9663636088371277,0.08505668651651252
3,0.98459595,0.04628257794813676,0.001,0.9725000262260437,0.07583939803086899
4,0.98727274,0.039035992474869045,0.001,0.9672726988792419,0.08537805381146345
5,0.98944443,0.032182639482045416,0.001,0.9677272439002991,0.08706950329328803
6,0.9930303,0.02391443850491384,0.00067000004,0.9679545164108276,0.08438666915351695
