epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.52144384,0.706892624424103,0.001,0.5272727012634277,0.6966937538349267
1,0.5281283,0.6915315058014609,0.001,0.5195454359054565,0.6907794509512005
2,0.5642246,0.6846457549849934,0.001,0.5533333420753479,0.6855901339559844
3,0.6084492,0.6754337697233108,0.001,0.6160606145858765,0.6771927361054854
4,0.69692516,0.6614265992807195,0.001,0.7227272987365723,0.6637951815489567
5,0.79636365,0.6423191233242259,0.001,0.7845454812049866,0.6449775604045752
6,0.84050804,0.6188004201491248,0.001,0.838787853717804,0.6211739734447363
7,0.8966043,0.5920496800239073,0.001,0.8828787803649902,0.5939979708555972
8,0.92657757,0.5637481467354106,0.001,0.9068182110786438,0.5664885689273025
9,0.94596255,0.5351943880606462,0.001,0.9242424368858337,0.5373951675675132
10,0.9549465,0.5070787896510751,0.001,0.935606062412262,0.5093990765918385
11,0.95949197,0.48000605145877695,0.001,0.9456060528755188,0.4827198827627933
12,0.96272725,0.45499517318399196,0.001,0.9493939280509949,0.45912913969068814
13,0.96441174,0.4308943106401413,0.001,0.953181803226471,0.43533424366604195
14,0.96590906,0.40857974333559127,0.001,0.9509090781211853,0.4150882058071368
15,0.9666845,0.3874385005458791,0.001,0.9503030180931091,0.3969738456697175
16,0.968369,0.3683219862940477,0.001,0.9562121033668518,0.37660511164954213
17,0.9692781,0.34950186329729416,0.001,0.9527272582054138,0.35990918459314286
18,0.97002673,0.33250006671257837,0.001,0.9571211934089661,0.3446528600201462
19,0.971123,0.31696376727226583,0.001,0.9540908932685852,0.32853044802492315
20,0.97165775,0.30170683693120826,0.001,0.9586363434791565,0.3152388920928493
21,0.97358286,0.2873221265887194,0.001,0.9599999785423279,0.30185939597361017
22,0.97475934,0.2732558301967733,0.001,0.953181803226471,0.28988925285411604
23,0.97526735,0.2589833250466515,0.001,0.9556060433387756,0.27518418153127033
24,0.9755615,0.2453181385643342,0.001,0.9560605883598328,0.26481423403277543
25,0.97770053,0.23082812732553737,0.001,0.9519696831703186,0.25367567002773284
26,0.977861,0.21796107659046662,0.001,0.960606038570404,0.23727028317523724
27,0.9792781,0.2059495196272345,0.001,0.9621211886405945,0.2272550679517515
28,0.9802139,0.19494436716332156,0.001,0.9583333134651184,0.2211860102956945
29,0.9815508,0.18440766724354443,0.001,0.9636363387107849,0.2104067514701323
30,0.98216575,0.1748634417331155,0.001,0.9615151286125183,0.20130186660723254
31,0.9833155,0.16590944365384108,0.001,0.9599999785423279,0.19508844536362271
32,0.98368984,0.15782482436315262,0.001,0.9624242186546326,0.18799048548394984
33,0.9843583,0.15013331062334745,0.001,0.9595454335212708,0.1876256662516883
34,0.98508024,0.14305360519631025,0.001,0.9587878584861755,0.17874686382936708
35,0.9867112,0.13597084998765732,0.001,0.9583333134651184,0.18125232059847224
36,0.98612297,0.13043619935844034,0.001,0.964090883731842,0.17386223396568587
37,0.987754,0.12312125549437528,0.001,0.9642423987388611,0.16079312778783567
38,0.9884759,0.11742050795153501,0.001,0.9622727036476135,0.15854001832730844
39,0.9885027,0.11253887367280409,0.001,0.9630302786827087,0.1531013768008261
40,0.99021393,0.10624803641263177,0.001,0.9618181586265564,0.1506879719008099
41,0.99048126,0.10209522394732358,0.001,0.960303008556366,0.15060137602415952
42,0.99149734,0.0964656704361426,0.001,0.9615151286125183,0.14799476691267707
43,0.99160427,0.09274951621651012,0.001,0.9581817984580994,0.14887016302708422
44,0.99262035,0.08814103100548454,0.001,0.9631817936897278,0.13868652017730654
45,0.99328876,0.0840006000456963,0.001,0.9596969485282898,0.14235821197430293
46,0.99312836,0.0807910112582426,0.001,0.9642423987388611,0.13215165763190298
47,0.9936096,0.0772973113008999,0.001,0.9609090685844421,0.1363734757629308
48,0.9942246,0.07396682696785518,0.001,0.9596969485282898,0.137911830878619
49,0.99502677,0.06973504756701822,0.0006,0.9607575535774231,0.13427044097221258
